headline,date,doc_type,author,section,url,news_desk,material_type,word_count,keywords
A Rising Star’s Career Was Cut Short. His Impact Is Just Beginning.,2021-07-19,article,['Andrew LaVallee'],,https://www.nytimes.com/2021/07/19/books/anthony-veasna-so-afterparties.html,Books,News,1516.0,"[('persons', 'So, Anthony Veasna (1992-2020)'), ('subject', 'Books and Literature'), ('subject', 'Writing and Writers'), ('subject', 'Book Trade and Publishing'), ('subject', 'Content Type: Personal Profile'), ('subject', 'Homosexuality and Bisexuality'), ('subject', 'Asian-Americans'), ('glocations', 'California'), ('glocations', 'Cambodia')]"
Shohei Ohtani Is Just the Star America’s Pastime Needs,2021-07-12,article,['Kurt Streeter'],,https://www.nytimes.com/2021/07/12/sports/baseball/shohei-ohtani-all-star-game.html,Sports,News,1032.0,"[('subject', 'Baseball'), ('organizations', 'Los Angeles Angels of Anaheim'), ('organizations', 'Major League Baseball'), ('persons', 'Ohtani, Shohei'), ('subject', 'Discrimination'), ('subject', 'ALL STAR GAMES'), ('subject', 'Asian-Americans'), ('subject', 'Content Type: Personal Profile'), ('subject', 'Japanese-Americans')]"
Anti-Asian Attacks Continue as City Reopens,2021-07-14,article,['Ashley Wong'],,https://www.nytimes.com/2021/07/14/nyregion/attacks-continue-city-reopens.html,Metro,briefing,1114.0,"[('glocations', 'New York City'), ('subject', 'Hate Crimes'), ('subject', 'Asian-Americans'), ('organizations', 'Metropolitan Opera'), ('subject', 'Coronavirus (2019-nCoV)'), ('organizations', 'Police Department (NYC)'), ('glocations', 'Chinatown (Manhattan, NY)'), ('subject', 'Wages and Salaries')]"
"Fear, and Discord, Among Asian Americans Over Attacks in San Francisco",2021-07-18,article,['Thomas Fuller'],,https://www.nytimes.com/2021/07/18/us/asian-attacks-san-francisco.html,National,News,1387.0,"[('glocations', 'San Francisco (Calif)'), ('subject', 'Asian-Americans'), ('subject', 'Hate Crimes'), ('subject', 'Assaults'), ('subject', 'Discrimination')]"
Boston Overhauls Admissions to Exclusive Exam Schools,2021-07-15,article,['Ellen Barry'],,https://www.nytimes.com/2021/07/15/us/boston-schools-entrance-exams-admissions.html,National,News,1480.0,"[('glocations', 'Boston (Mass)'), ('subject', 'Education (K-12)'), ('subject', 'ADMISSIONS STANDARDS'), ('subject', 'Tests and Examinations'), ('organizations', 'Boston Latin School'), ('subject', 'Black People'), ('subject', 'Blacks'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans'), ('subject', 'Race and Ethnicity')]"
‘No Vaccine for Racism’: Asian New Yorkers Still Live in Fear of Attacks,2021-07-14,article,"['Ali Watkins', 'Jonah Bromwich']",,https://www.nytimes.com/2021/07/14/nyregion/asian-hate-attacks-police.html,Metro,News,1348.0,"[('subject', 'Discrimination'), ('subject', 'Hate Crimes'), ('subject', 'Asian-Americans'), ('subject', 'Assaults'), ('organizations', 'Police Department (NYC)'), ('glocations', 'New York City')]"
A ‘Rogue Ballerina’ Gives a Candid Account of Ballet Culture,2021-07-14,article,['Gia Kourlas'],,https://www.nytimes.com/2021/07/14/arts/dance/georgina-pazcoguin-swan-dive.html,Arts&Leisure,News,1742.0,"[('persons', 'Pazcoguin, Georgina'), ('subject', 'Dancing'), ('subject', 'Books and Literature'), ('creative_works', 'Swan Dive: The Making of a Rogue Ballerina (Book)'), ('subject', 'Race and Ethnicity'), ('subject', 'Asian-Americans'), ('organizations', 'New York City Ballet'), ('organizations', 'School of American Ballet'), ('subject', 'Content Type: Personal Profile')]"
Violinist Apologizes for ‘Culturally Insensitive’ Remarks About Asians,2021-06-28,article,['Javier Hernández'],,https://www.nytimes.com/2021/06/28/arts/music/pinchas-zukerman-violinist-asians.html,Culture,News,577.0,"[('subject', 'Discrimination'), ('subject', 'Classical Music'), ('organizations', 'Juilliard School'), ('persons', 'Zukerman, Pinchas'), ('subject', 'Asian-Americans'), ('subject', 'Apologies')]"
"After Years of Sex and Lies, David Choe Is Ready for TV",2021-06-24,article,['Edmund Lee'],,https://www.nytimes.com/2021/06/24/business/media/david-choe-show-artist.html,Business,News,1510.0,"[('subject', 'Art'), ('subject', 'Television'), ('subject', 'Korean-Americans'), ('subject', 'Asian-Americans'), ('subject', 'Content Type: Personal Profile'), ('persons', 'Choe, David (1976- )'), ('creative_works', 'The Choe Show (TV Program)'), ('subject', 'audio-positive-escape')]"
Billie Eilish Apologizes for Lip-Syncing Anti-Asian Slur,2021-06-22,article,['Anna Kambhampaty'],,https://www.nytimes.com/2021/06/22/style/billie-eilish-asian-slur-apology.html,Styles,News,361.0,"[('persons', 'Eilish, Billie'), ('subject', 'Asian-Americans'), ('subject', 'Apologies'), ('subject', 'Discrimination'), ('subject', 'Pop and Rock Music')]"
