headline,date,news_desk,word_count,Hate Crimes,Discrimination,Race and Ethnicity,Atlanta Spa Shootings (2021),"Murders, Attempted Murders and Homicides","Demonstrations, Protests and Riots",Mass Shootings,Quarantine (Life and Culture),Assaults,Minorities,Workplace Hazards and Violations,Coronavirus (2019-nCoV),url
Critical Race Theory: A Brief History,2021-07-27,Express,1417.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/article/what-is-critical-race-theory.html
Asians Are Represented in Classical Music. But Are They Seen?,2021-07-21,Arts&Leisure,2405.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/07/21/arts/music/asians-classical-music.html
A Violinist on How to Empower Asian Musicians,2021-07-21,Arts&Leisure,1161.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/07/21/arts/music/jennifer-koh-asians-classical-music.html
A Rising Star’s Career Was Cut Short. His Impact Is Just Beginning.,2021-07-19,Culture,1516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/07/19/books/anthony-veasna-so-afterparties.html
"Fear, and Discord, Among Asian Americans Over Attacks in San Francisco",2021-07-18,National,1387.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/07/18/us/asian-attacks-san-francisco.html
Boston Overhauls Admissions to Exclusive Exam Schools,2021-07-15,National,1480.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/07/15/us/boston-schools-entrance-exams-admissions.html
A ‘Rogue Ballerina’ Gives a Candid Account of Ballet Culture,2021-07-14,Arts&Leisure,1742.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/07/14/arts/dance/georgina-pazcoguin-swan-dive.html
Anti-Asian Attacks Continue as City Reopens,2021-07-14,Metro,1114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2021/07/14/nyregion/attacks-continue-city-reopens.html
‘No Vaccine for Racism’: Asian New Yorkers Still Live in Fear of Attacks,2021-07-14,Metro,1348.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2021/07/14/nyregion/asian-hate-attacks-police.html
Shohei Ohtani Is Just the Star America’s Pastime Needs,2021-07-12,Sports,1032.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/07/12/sports/baseball/shohei-ohtani-all-star-game.html
Violinist Apologizes for ‘Culturally Insensitive’ Remarks About Asians,2021-06-28,Culture,577.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/06/28/arts/music/pinchas-zukerman-violinist-asians.html
"After Years of Sex and Lies, David Choe Is Ready for TV",2021-06-24,Business,1510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/06/24/business/media/david-choe-show-artist.html
